LOC#,Site,Name,PilotIdentifierList,OperatorExtension,BusinessHoursWelcomeGreetingFilename,BusinessHoursMainMenuCustomPromptFilename,BusinessHoursKeyMapping,BusinessHoursKeyMappingEnabled,AfterHoursWelcomeGreetingFilename,AfterHoursMainMenuCustomPromptFilename,AfterHoursKeyMapping,AfterHoursKeyMappingEnabled
#VALUE!,#VALUE!,Datacomm Attendant,809925440,0,main data comm wave.wav,0,"1,Telcomm UMAA,,Telcomm menu,,,,,,; 2,DATACOMM MENU,,tELCOMM tEST umma,,,,,,; 3,SANDRA,809925499,,,,,,,; 4,test,,,,,c154eb3a-128f-44bf-b90a-6725ef57a6a6,,,",FALSE,0,0,0,FALSE
747, Gompers Mdl ,747-UMAA-02-Main_Spanish,0,807473020,silence.wav,747-UMAA-05-Main-OL-Spanish-2020.wav,"2,La Asistencia,807472044,,,,,,,; 9,Nurse,807473050,,,,,,,",,silence.wav,silence.wav,"-,Closed Auto Attendant,,747-UMAA-04-Main_Spanish_Night,,,,,,",TRUE
157, Johnson El,157-UMAA-04-Main_Spanish_Night,0,801573021,silence.wav,157-UMAA-02-Spanish_Main_16bit_mono.wav,"2,Attendance,801573021,,,,,,,; 3,Nurse,801573051,,,,,,,; 4,Counseling,801573071,,,,,,,; 5,StatePreschool,801572202,,,,,,,; 6,Primetime,801572011,,,,,,,; 7,Principal-secretary,801573020,,,,,,,",TRUE,silence.wav,0,0,FALSE
033, Boone El,033-UMAA-03-Main_English_Night,0,800336010,silence.wav,033_UMAA_Boone English.wav,"1,Spanish,,033-UMAA-04-Main_Spanish_Night,,,,,,; 2,Absense,800333002,,,,,,,; 3,Attendance,800333023,,,,,,,; 4,Enrollment,800333024,,,,,,,; 5,School Assistant,800333026,,,,,,,; 6,Health Office,800333050,,,,,,,; 7,Custodian,800333065,,,,,,,; 8,Cafeteria,800333060,,,,,,,; -,Operator,800336010,,,,,,,",TRUE,silence.wav,silence.wav,0,FALSE
229, Paradise Hills El,229-UMAA-03-Main_English_Night,0,802293011,silence.wav,229-UMAA-01-English-Main_16bit_mono.wav,"1,Spanish,,229-UMAA-04-Main_Spanish_Night,,,,,,; 2,Attendance,802293011,,,,,,,; 3,Health,802293050,,,,,,,; 4,Pre School,802292602,,,,,,,; 5,Prime Time,802292716,,,,,,,",TRUE,silence.wav,silence.wav,0,FALSE
089, Edison El,089-UMAA-01-Main_English,800893000,800893023,silence2.wav,089-UMAA-01-Main-English-2021.wav,"1,Spanish,800893020,,,,,,,; 2,Attendance,800893020,,,,,,,; 3,Nurse,800893050,,,,,,,; 4,Records and Enrollment,800893023,,,,,,,; 5,Secretary,800893022,,,,,,,; 6,Cafeteria,800893061,,,,,,,; 7,School Information,,,089-UMAA-07-School-Information-2021.wav,,,,,; -,Operator,800893023,,,,,,,",TRUE,silence2.wav,silence.wav,"-,Closed Auto Attendant,,089-UMAA-03-Main_English_Night,,,,,,",FALSE
135, Hamilton El,135-UMAA-03-Main_English_Night,0,801353025,silence.wav,135-UMAA-01-English_Main_16bit_mono_announcements.wav,"1,Spanish,,135-UMAA-04-Main_Spanish_Night,,,,,,; 2,Attendance,801353022,,,,,,,; 3,Nurse,801353051,,,,,,,; 4,State PreSchool,801353035,,,,,,,; 5,Primetime,801353057,,,,,,,; 6,Announcements,801353010,,,,,,,",TRUE,silence.wav,silence.wav,0,FALSE
074,#N/A,074-UMAA-03-Main_English_Night,0,800746010,silence.wav,074-UMAA-01-English_Main_16bit_mono.wav,"1,Spanish,,074-UMAA-04-Main_Spanish_Night,,,,,,; 3,Attendance,800743024,,,,,,,; 4,Parent Liaison,800743029,,,,,,,",TRUE,silence.wav,silence.wav,0,FALSE
322, Clark Mdl,322-UMAA-04-Main_Spanish_Night,0,803226010,silence.wav,322-UMAA-02-Spanish_Main_16bit_mono.wav,"2,Attendance,803223028,,,,,,,; 3,Counseling,803222200,,,,,,,; 4,Nurse,803223050,,,,,,,; 5,Library,803223070,,,,,,,; 6,Parent Center,803222205,,,,,,,; 7,School Records,803222200,,,,,,,; 8,Administration,803223023,,,,,,,; 9,Prime Time,803222504,,,,,,,",TRUE,silence.wav,0,0,FALSE
103, Field El,103-UMAA-03-Main_English_Night,0,801033011,silence.wav,103-UMAA-01-English_Main_16bit_mono.wav,"1,Spanish,,103-UMAA-04-Main_Spanish_Night,,,,,,; 2,Attendance,801033013,,,,,,,; 3,Nurse,801033050,,,,,,,; 4,Prime Time,801033024,,,,,,,; -,Front Office,801036010,,,,,,,",TRUE,silence.wav,0,0,FALSE
