Successful function calls:
'061-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/ac374b97-7d9e-4b04-b4ed-5c43d54d5a98
'061-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/4429ba99-c3e2-49f8-bf08-875372217587
'808-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/96f64168-777e-4264-8014-48de4855be38
'808-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/aab895a4-8bff-4e70-99e8-5376f1104cf3
'808-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/7eed6d32-a38f-4699-a72e-b1c80b06b741
'808-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/0f9005c9-88d8-4061-8957-be63470590a0
'332-UMAA-08-Admistrative-Aide-Spanish' created: /vmrest/handlers/callhandlers/6196f6fa-afb2-49fb-ba1a-ac81e611d6e1
'332-UMAA-08-Admistrative-English' created: /vmrest/handlers/callhandlers/12097904-66e5-4de3-b201-0585eecb3eac
'332-UMAA-07-TechSuport-Finance-Registrar-English' created: /vmrest/handlers/callhandlers/c4e813e5-abb4-4c59-a745-0f2521f015b6
'332-UMAA-07-TechSuport-Finance-Registrar-Spanish' created: /vmrest/handlers/callhandlers/173ea3d9-4adb-45bb-92e8-aea7dd22431b
'332-UMAA-06-Enrollment-English' created: /vmrest/handlers/callhandlers/38b5eb76-8492-4b15-91a2-250b37c0d422
'332-UMAA-06-Enrollment-Spanish' created: /vmrest/handlers/callhandlers/7839f1cb-1eee-4987-868c-c888f714ba71
'332-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/68244de0-2301-4093-b4e5-50dc55fbd3d5
'332-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/38cebcd8-370c-4d3b-8c7c-d9e19591c1a3
'332-Counl_English' created: /vmrest/handlers/callhandlers/542943b4-686c-4750-a225-bb701ed14532
'332-VP_English' created: /vmrest/handlers/callhandlers/9ac68b09-f0d7-47a3-af21-99cfb5535b06
'332-VP_Spanish' created: /vmrest/handlers/callhandlers/62d00763-4a2e-455c-9a27-135ef4109ece
'332-Counl_Spanish' created: /vmrest/handlers/callhandlers/3da03b0f-bf44-40b3-b31e-d36820126196
'307-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/e40bec46-634b-4833-9067-37d43cc39596
