Successful function calls:
'105-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/e152cab1-dbd4-491b-8e85-6e0a2ac044b7
'105-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/c9297844-a18f-4339-8d8c-179db63dd809
'105-UMAA-Summer-English-2021' created: /vmrest/handlers/callhandlers/58403464-a0a3-4ed3-a6a6-5438f29787ae
'107-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/474bf702-5c20-41b1-9073-6bbd89190a7e
'107-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/d846e2eb-3e6a-45bb-9d3d-ae9108e6ac8d
'107-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/d805c2b6-d7f5-4dad-89a7-27ad9c3787b1
'107-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/7c53a237-448e-4f78-97be-6a10f9d070e2
'111-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/de1edd00-c102-426e-99ba-3761c60cbb84
'111-UMAA-02-Main_English' created: /vmrest/handlers/callhandlers/c5f8e771-ae32-46bd-912b-6f3d3193497e
'111-UMAA-01-Spanish' created: /vmrest/handlers/callhandlers/53be526f-076c-4010-a1f9-0fec5dd210aa
'111-UMAA-05-Directory_English' created: /vmrest/handlers/callhandlers/babfaf0e-474e-4efb-b56f-557d004e418f
'113-UMAA-01-Main-English' created: /vmrest/handlers/callhandlers/fc97f754-636e-4490-a533-5f652a1d73d7
'121-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/34ec6d19-96af-4f79-82c4-ae6415906447
'123-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/4361d0a3-fc00-4772-8991-6cebc7457bec
'123-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/2b7d4c8d-5aed-467c-9599-794993a3d624
'124-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/d457b402-8784-4ab3-a17c-f8395e778d03
'124-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/927e9335-b457-4a7f-a87e-d3ccecd12d5e
'124-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/8dd5d820-7fae-49d4-9cf8-eff95d89259c
'124-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/656141b8-edd2-4ff5-a6e6-a1ada737874a
'125-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/c5b013af-469e-45d8-ad7f-93b45e8453ee
'125-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/4de4a5cd-fc47-4446-be0d-af51db805cb6
'128-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/63419914-e9a9-447f-843a-945ea50d09af
'128-UMAA-01-Main-02-Spanish' created: /vmrest/handlers/callhandlers/fce834dc-b6a4-4547-bc1d-83235846d723
'130-UMAA-MainSpanish' created: /vmrest/handlers/callhandlers/0a644c3b-f6e7-46fa-92ab-fa39ba85e1b8
'130-UMAA-01-Main_Englisg' created: /vmrest/handlers/callhandlers/03daea62-44df-44d6-be94-afb27bdc4e34
'134-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/21f7fb4f-ff5a-43bb-9f62-e5aa00fadf3e
'135-UMAA-03-Main_English_Night' created: /vmrest/handlers/callhandlers/19cd37b9-134d-48ba-8f80-5a4ea3cfe6af
'135-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/6a4814d1-0d4e-48b8-b724-38a420796056
'135-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/a03f9e1d-733a-4f5d-b4fd-4832d988fb98
'135-UMAA-04-Main_Spanish_Night' created: /vmrest/handlers/callhandlers/a45d5bc9-089d-43ee-bb1f-a97bdb3753a7
'136-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/1c448618-4d92-4c4b-ad64-5738cec52535
'137-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/112fb50d-2dbc-41d6-88c6-b81624eeef73
'137-UMAA-02-Main_Spanish' created: /vmrest/handlers/callhandlers/fbb9fe48-ab5d-4efb-aace-320087ea2613
'138-UMAA-01-Main-English' created: /vmrest/handlers/callhandlers/86429f86-27cb-465b-a758-719c6749f7d1
'139-UMAA-01-Main_Spanish' created: /vmrest/handlers/callhandlers/058515e5-d2ab-40f7-ac5a-1bc46e4ca6e8
'139-UMAA-01-Main_English' created: /vmrest/handlers/callhandlers/7a002d77-dbd3-45ae-b9c0-16b6e5d3a2ef
